Rank,Song,Artist,Last_Week,Peak_Position,Weeks_on_Chart,Date
25,Made For Me,Muni Long,29,20,10,2024-03-30
26,Feather,Sabrina Carpenter,33,26,16,2024-03-30
27,Truck Bed,HARDY,36,27,40,2024-03-30
28,Man Made A Bar,Morgan Wallen Featuring Eric Church,51,15,26,2024-03-30
29,Houdini,Dua Lipa,31,11,19,2024-03-30
30,Selfish,Justin Timberlake,40,19,8,2024-03-30
31,Is It Over Now? (Taylor's Version) [From The Vault],Taylor Swift,27,1,21,2024-03-30
32,Paint The Town Red,Doja Cat,32,1,33,2024-03-30
33,What Was I Made For?,Billie Eilish,35,14,35,2024-03-30
34,The Boy Is Mine,Ariana Grande,16,16,2,2024-03-30
35,Yeah Glo!,GloRilla,41,35,6,2024-03-30
36,"Yes, And?",Ariana Grande,10,1,10,2024-03-30
37,Wild Ones,Jessie Murph & Jelly Roll,43,35,24,2024-03-30
38,Save Me,Jelly Roll With Lainey Wilson,45,19,37,2024-03-30
39,Pretty Little Poison,Warren Zeiders,42,19,28,2024-03-30
40,Supernatural,Ariana Grande,17,17,2,2024-03-30
41,Where The Wild Things Are,Luke Combs,46,26,18,2024-03-30
42,Burn It Down,Parker McCollum,53,42,22,2024-03-30
43,Exes,Tate McRae,47,34,18,2024-03-30
44,La Diabla,Xavi,44,20,14,2024-03-30
45,23,Chayce Beckham,52,45,12,2024-03-30
46,Vampire,Olivia Rodrigo,48,1,35,2024-03-30
47,FE!N,Travis Scott Featuring Playboi Carti,50,5,21,2024-03-30
48,Wildflowers And Wild Horses,Lainey Wilson,56,48,8,2024-03-30
49,Eternal Sunshine,Ariana Grande,23,23,2,2024-03-30
50,Get In With Me,BossMan Dlow,63,49,7,2024-03-30
51,Everybody,Nicki Minaj Featuring Lil Uzi Vert,59,24,15,2024-03-30
52,Bye,Ariana Grande,25,25,2,2024-03-30
53,Soak City,310babii,62,53,14,2024-03-30
54,Prada Dem,Gunna Featuring Offset,NEW,54,1,2024-03-30
55,Mamaw's House,Thomas Rhett Featuring Morgan Wallen,58,55,12,2024-03-30
56,Scared To Start,Michael Marcagi,67,56,5,2024-03-30
57,Surround Sound,JID Featuring 21 Savage & Baby Tate,61,40,19,2024-03-30
58,One Of The Girls,"The Weeknd, Jennie & Lily-Rose Depp",64,51,13,2024-03-30
59,Austin,Dasha,74,59,2,2024-03-30
60,Bandit,Don Toliver,78,38,7,2024-03-30
61,Training Season,Dua Lipa,68,27,5,2024-03-30
62,Praise Jah In The Moonlight,YG Marley,57,34,8,2024-03-30
63,I Can Feel It,Kane Brown,54,50,12,2024-03-30
64,Breathe,Yeat,65,42,5,2024-03-30
65,FRI(END)S,V,NEW,65,1,2024-03-30
66,True Story,Ariana Grande,30,30,2,2024-03-30
67,Where It Ends,Bailey Zimmerman,73,32,12,2024-03-30
68,Don't Wanna Break Up Again,Ariana Grande,28,28,2,2024-03-30
69,You Broke My Heart,Drake,66,11,18,2024-03-30
70,Mmhmm,BigXthaPlug,80,65,13,2024-03-30
71,FTCU,Nicki Minaj,71,15,15,2024-03-30
72,Imperfect For You,Ariana Grande,37,37,2,2024-03-30
73,Sensational,Chris Brown Featuring Davido & Lojay,72,71,7,2024-03-30
74,Tu Name,Fuerza Regida,75,66,5,2024-03-30
75,One Call,Rich Amiri,70,60,8,2024-03-30
76,Deeper Well,Kacey Musgraves,NEW,76,1,2024-03-30
77,La Victima,Xavi,76,46,14,2024-03-30
78,Spin You Around (1/24),Morgan Wallen,77,24,8,2024-03-30
79,Intro (End Of The World),Ariana Grande,38,38,2,2024-03-30
80,Home,Good Neighbours,83,77,7,2024-03-30
81,Tucson Too Late,Jordan Davis,92,81,3,2024-03-30
82,Harley Quinn,Fuerza Regida & Marshmello,81,40,20,2024-03-30
83,Back Then Right Now,Tyler Hubbard,96,83,2,2024-03-30
84,Perro Negro,Bad Bunny & Feid,82,20,20,2024-03-30
85,I Wish I Hated You,Ariana Grande,39,39,2,2024-03-30
86,Murder On The Dancefloor,Sophie Ellis-Bextor,69,51,12,2024-03-30
87,Coal,Dylan Gossett,90,73,11,2024-03-30
88,Let's Go,Key Glock & Young Dolph,89,88,4,2024-03-30
89,Nee-nah,"21 Savage, Travis Scott & Metro Boomin",85,10,10,2024-03-30
90,Bellakeo,Peso Pluma & Anitta,86,53,14,2024-03-30
91,Like What (Freestyle),Cardi B,84,38,3,2024-03-30
92,Outskirts,Sam Hunt,98,92,2,2024-03-30
93,Mr Pot Scraper,BossMan Dlow,NEW,93,1,2024-03-30
94,Holy Smokes,Bailey Zimmerman,87,54,4,2024-03-30
95,Baby Please,Ivan Cornejo,NEW,95,1,2024-03-30
96,We Ride,Bryan Martin,NEW,96,1,2024-03-30
97,Tourniquet,Zach Bryan,97,20,12,2024-03-30
98,Gata Only,FloyyMenor X Cris Mj,NEW,98,1,2024-03-30
99,Igual Que Un Angel,Kali Uchis & Peso Pluma,94,22,10,2024-03-30
100,We Don't Fight Anymore,Carly Pearce Featuring Chris Stapleton,RE- ENTRY,67,11,2024-03-30
1,Like That,"Future, Metro Boomin & Kendrick Lamar",NEW,1,1,2024-04-06
2,Type Shit,"Future, Metro Boomin, Travis Scott & Playboi Carti",NEW,2,1,2024-04-06
3,Beautiful Things,Benson Boone,2,2,10,2024-04-06
4,Lose Control,Teddy Swims,1,1,33,2024-04-06
5,Too Sweet,Hozier,NEW,5,1,2024-04-06
6,Cinderella,"Future, Metro Boomin & Travis Scott",NEW,6,1,2024-04-06
7,Lovin On Me,Jack Harlow,4,1,20,2024-04-06
8,We Don't Trust You,Future & Metro Boomin,NEW,8,1,2024-04-06
9,Young Metro,"Future, Metro Boomin & The Weeknd",NEW,9,1,2024-04-06
10,We Can't Be Friends (Wait For Your Love),Ariana Grande,3,1,3,2024-04-06
11,Texas Hold 'Em,Beyonce,6,1,7,2024-04-06
12,Carnival,¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti,5,1,7,2024-04-06
13,Ice Attack,Future & Metro Boomin,NEW,13,1,2024-04-06
14,Obsessed,Olivia Rodrigo,NEW,14,1,2024-04-06
15,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,7,1,31,2024-04-06
16,Cruel Summer,Taylor Swift,10,1,47,2024-04-06
17,Greedy,Tate McRae,8,3,28,2024-04-06
18,Stick Season,Noah Kahan,12,10,26,2024-04-06
19,Water,Tyla,20,7,26,2024-04-06
20,Slimed In,Future & Metro Boomin,NEW,20,1,2024-04-06
21,End Of Beginning,Djo,11,11,6,2024-04-06
22,Agora Hills,Doja Cat,13,7,27,2024-04-06
23,Snooze,SZA,14,2,67,2024-04-06
24,Claustrophobic,Future & Metro Boomin,NEW,24,1,2024-04-06
25,Fast Car,Luke Combs,18,2,53,2024-04-06
26,Saturn,SZA,17,6,5,2024-04-06
27,Magic Don Juan (Princess Diana),Future & Metro Boomin,NEW,27,1,2024-04-06
28,Get It Sexyy,Sexyy Red,23,23,2,2024-04-06
29,Never Lose Me,Flo Milli,15,15,15,2024-04-06
30,Redrum,21 Savage,22,5,11,2024-04-06
31,Act II: Date @ 8,4batz Featuring Drake,19,7,12,2024-04-06
32,Whatever She Wants,Bryson Tiller,24,19,6,2024-04-06
33,Fried (She A Vibe),Future & Metro Boomin,NEW,33,1,2024-04-06
34,Made For Me,Muni Long,25,20,11,2024-04-06
35,Feather,Sabrina Carpenter,26,26,17,2024-04-06
36,Runnin Outta Time,Future & Metro Boomin,NEW,36,1,2024-04-06
37,Man Made A Bar,Morgan Wallen Featuring Eric Church,28,15,27,2024-04-06
38,Everyday Hustle,"Future, Metro Boomin & Rick Ross",NEW,38,1,2024-04-06
39,Truck Bed,HARDY,27,27,41,2024-04-06
40,GTA,Future & Metro Boomin,NEW,40,1,2024-04-06
41,Ain't No Love,Future & Metro Boomin,NEW,41,1,2024-04-06
42,Houdini,Dua Lipa,29,11,20,2024-04-06
43,Paint The Town Red,Doja Cat,32,1,34,2024-04-06
44,Enough (Miami),Cardi B,9,9,2,2024-04-06
45,Slow It Down,Benson Boone,NEW,45,1,2024-04-06
46,Selfish,Justin Timberlake,30,19,9,2024-04-06
47,Is It Over Now? (Taylor's Version) [From The Vault],Taylor Swift,31,1,22,2024-04-06
48,23,Chayce Beckham,45,45,13,2024-04-06
49,Yeah Glo!,GloRilla,35,35,7,2024-04-06
50,Where The Wild Things Are,Luke Combs,41,26,19,2024-04-06
51,Burn It Down,Parker McCollum,42,42,23,2024-04-06
52,WTFYM,Future & Metro Boomin,NEW,52,1,2024-04-06
53,Austin,Dasha,59,53,3,2024-04-06
54,Seen It All,Future & Metro Boomin,NEW,54,1,2024-04-06
55,Wild Ones,Jessie Murph & Jelly Roll,37,35,25,2024-04-06
56,La Diabla,Xavi,44,20,15,2024-04-06
57,Exes,Tate McRae,43,34,19,2024-04-06
58,So American,Olivia Rodrigo,NEW,58,1,2024-04-06
59,Wildflowers And Wild Horses,Lainey Wilson,48,48,9,2024-04-06
60,The Boy Is Mine,Ariana Grande,34,16,3,2024-04-06
61,"Yes, And?",Ariana Grande,36,1,11,2024-04-06
62,Where My Twin @,Future & Metro Boomin,NEW,62,1,2024-04-06
63,Get In With Me,BossMan Dlow,50,49,8,2024-04-06
64,Soak City,310babii,53,53,15,2024-04-06
65,Scared To Start,Michael Marcagi,56,56,6,2024-04-06
66,Everybody,Nicki Minaj Featuring Lil Uzi Vert,51,24,16,2024-04-06
67,Praise Jah In The Moonlight,YG Marley,62,34,9,2024-04-06
68,Mamaw's House,Thomas Rhett Featuring Morgan Wallen,55,55,13,2024-04-06
69,La People II,"Peso Pluma, Tito Double P & Joel de La P",NEW,69,1,2024-04-06
70,I Like The Way You Kiss Me,Artemas,NEW,70,1,2024-04-06
71,Training Season,Dua Lipa,61,27,6,2024-04-06
72,Punteria,Shakira & Cardi B,NEW,72,1,2024-04-06
73,Corazon de Piedra,Xavi,NEW,73,1,2024-04-06
74,One Of The Girls,"The Weeknd, Jennie & Lily-Rose Depp",58,51,14,2024-04-06
75,Stranger,Olivia Rodrigo,NEW,75,1,2024-04-06
76,Mmhmm,BigXthaPlug,70,65,14,2024-04-06
77,Bandit,Don Toliver,60,38,8,2024-04-06
78,Surround Sound,JID Featuring 21 Savage & Baby Tate,57,40,20,2024-04-06
79,Where It Ends,Bailey Zimmerman,67,32,13,2024-04-06
80,Supernatural,Ariana Grande,40,17,3,2024-04-06
81,Tu Name,Fuerza Regida,74,66,6,2024-04-06
82,FTCU,Nicki Minaj,71,15,16,2024-04-06
83,Gata Only,FloyyMenor X Cris Mj,98,83,2,2024-04-06
84,I Can Feel It,Kane Brown,63,50,13,2024-04-06
85,Breathe,Yeat,64,42,6,2024-04-06
86,Bye,Ariana Grande,52,25,3,2024-04-06
87,Eternal Sunshine,Ariana Grande,49,23,3,2024-04-06
88,Wildflower And Barley,Hozier & Allison Russell,NEW,88,1,2024-04-06
89,Sensational,Chris Brown Featuring Davido & Lojay,73,71,8,2024-04-06
90,Scared Of My Guitar,Olivia Rodrigo,NEW,90,1,2024-04-06
91,Spin You Around (1/24),Morgan Wallen,78,24,9,2024-04-06
92,One Call,Rich Amiri,75,60,9,2024-04-06
93,Best For Me,Joyner Lucas & Jelly Roll,NEW,93,1,2024-04-06
94,You Broke My Heart,Drake,69,11,19,2024-04-06
95,Home,Good Neighbours,80,77,8,2024-04-06
96,La Victima,Xavi,77,46,15,2024-04-06
97,Tucson Too Late,Jordan Davis,81,81,4,2024-04-06
98,Empire Now,Hozier,NEW,98,1,2024-04-06
99,Girl I've Always Been,Olivia Rodrigo,NEW,99,1,2024-04-06
100,Outskirts,Sam Hunt,92,92,3,2024-04-06
1,Like That,"Future, Metro Boomin & Kendrick Lamar",1,1,2,2024-04-13
2,Texas Hold 'Em,Beyonce,11,1,8,2024-04-13
3,Beautiful Things,Benson Boone,3,2,11,2024-04-13
4,Too Sweet,Hozier,5,4,2,2024-04-13
5,Lose Control,Teddy Swims,4,1,34,2024-04-13
6,II Most Wanted,Beyonce & Miley Cyrus,NEW,6,1,2024-04-13
7,Jolene,Beyonce,NEW,7,1,2024-04-13
8,Lovin On Me,Jack Harlow,7,1,21,2024-04-13
9,We Can't Be Friends (Wait For Your Love),Ariana Grande,10,1,4,2024-04-13
10,Type Shit,"Future, Metro Boomin, Travis Scott & Playboi Carti",2,2,2,2024-04-13
11,Carnival,¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti,12,1,8,2024-04-13
12,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,15,1,32,2024-04-13
13,Greedy,Tate McRae,17,3,29,2024-04-13
14,Cruel Summer,Taylor Swift,16,1,48,2024-04-13
15,Stick Season,Noah Kahan,18,10,27,2024-04-13
16,Levii's Jeans,Beyonce & Post Malone,NEW,16,1,2024-04-13
17,Snooze,SZA,23,2,68,2024-04-13
18,Fast Car,Luke Combs,25,2,54,2024-04-13
19,Saturn,SZA,26,6,6,2024-04-13
20,Get It Sexyy,Sexyy Red,28,20,3,2024-04-13
21,Agora Hills,Doja Cat,22,7,28,2024-04-13
22,Water,Tyla,19,7,27,2024-04-13
23,I Like The Way You Kiss Me,Artemas,70,23,2,2024-04-13
24,End Of Beginning,Djo,21,11,7,2024-04-13
25,Cinderella,"Future, Metro Boomin & Travis Scott",6,6,2,2024-04-13
26,Bodyguard,Beyonce,NEW,26,1,2024-04-13
27,Blackbiird,"Beyonce, Tanner Adell, Brittney Spencer, Tiera Kennedy & Reyna Roberts",NEW,27,1,2024-04-13
28,Redrum,21 Savage,30,5,12,2024-04-13
29,Never Lose Me,Flo Milli,29,15,16,2024-04-13
30,Ameriican Requiem,Beyonce,NEW,30,1,2024-04-13
31,Spaghettii,"Beyonce, Linda Martell & Shaboozey",NEW,31,1,2024-04-13
32,Feather,Sabrina Carpenter,35,26,18,2024-04-13
33,Man Made A Bar,Morgan Wallen Featuring Eric Church,37,15,28,2024-04-13
34,Whatever She Wants,Bryson Tiller,32,19,7,2024-04-13
35,Made For Me,Muni Long,34,20,12,2024-04-13
36,Act II: Date @ 8,4batz Featuring Drake,31,7,13,2024-04-13
37,Daughter,Beyonce,NEW,37,1,2024-04-13
38,16 Carriages,Beyonce,RE- ENTRY,38,5,2024-04-13
39,Ya Ya,Beyonce,NEW,39,1,2024-04-13
40,Young Metro,"Future, Metro Boomin & The Weeknd",9,9,2,2024-04-13
41,Obsessed,Olivia Rodrigo,14,14,2,2024-04-13
42,Protector,Beyonce & Rumi Carter,NEW,42,1,2024-04-13
43,We Don't Trust You,Future & Metro Boomin,8,8,2,2024-04-13
44,Tyrant,Beyonce & Dolly Parton,NEW,44,1,2024-04-13
45,Houdini,Dua Lipa,42,11,21,2024-04-13
46,Where The Wild Things Are,Luke Combs,50,26,20,2024-04-13
47,Burn It Down,Parker McCollum,51,42,24,2024-04-13
48,Selfish,Justin Timberlake,46,19,10,2024-04-13
49,23,Chayce Beckham,48,45,14,2024-04-13
50,Paint The Town Red,Doja Cat,43,1,35,2024-04-13
51,Riiverdance,Beyonce,NEW,51,1,2024-04-13
52,Alliigator Tears,Beyonce,NEW,52,1,2024-04-13
53,FE!N,Travis Scott Featuring Playboi Carti,RE- ENTRY,5,22,2024-04-13
54,My Rose,Beyonce,NEW,54,1,2024-04-13
55,Slow It Down,Benson Boone,45,45,2,2024-04-13
56,Yeah Glo!,GloRilla,49,35,8,2024-04-13
57,Austin,Dasha,53,53,4,2024-04-13
58,Wild Ones,Jessie Murph & Jelly Roll,55,35,26,2024-04-13
59,Just For Fun,Beyonce & Willie Jones,NEW,59,1,2024-04-13
60,II Hands II Heaven,Beyonce,NEW,60,1,2024-04-13
61,Sweet * Honey * Buckiin',Beyonce & Shaboozey,NEW,61,1,2024-04-13
62,Enough (Miami),Cardi B,44,9,3,2024-04-13
63,Flamenco,Beyonce,NEW,63,1,2024-04-13
64,Wildflowers And Wild Horses,Lainey Wilson,59,48,10,2024-04-13
65,Desert Eagle,Beyonce,NEW,65,1,2024-04-13
66,Get In With Me,BossMan Dlow,63,49,9,2024-04-13
67,Exes,Tate McRae,57,34,20,2024-04-13
68,Scared To Start,Michael Marcagi,65,56,7,2024-04-13
69,La Diabla,Xavi,56,20,16,2024-04-13
70,Oh Louisiana,Beyonce,NEW,70,1,2024-04-13
71,Training Season,Dua Lipa,71,27,7,2024-04-13
72,Ice Attack,Future & Metro Boomin,13,13,2,2024-04-13
73,Where It Ends,Bailey Zimmerman,79,32,14,2024-04-13
74,Gata Only,FloyyMenor X Cris Mj,83,74,3,2024-04-13
75,Everybody,Nicki Minaj Featuring Lil Uzi Vert,66,24,17,2024-04-13
76,Soak City,310babii,64,53,16,2024-04-13
77,Mmhmm,BigXthaPlug,76,65,15,2024-04-13
78,Slimed In,Future & Metro Boomin,20,20,2,2024-04-13
79,Mamaw's House,Thomas Rhett Featuring Morgan Wallen,68,55,14,2024-04-13
80,Praise Jah In The Moonlight,YG Marley,67,34,10,2024-04-13
81,I Luv It,Camila Cabello & Playboi Carti,NEW,81,1,2024-04-13
82,The Boy Is Mine,Ariana Grande,60,16,4,2024-04-13
83,Corazon de Piedra,Xavi,73,73,2,2024-04-13
84,Bandit,Don Toliver,77,38,9,2024-04-13
85,One Of The Girls,"The Weeknd, Jennie & Lily-Rose Depp",74,51,15,2024-04-13
86,"Yes, And?",Ariana Grande,61,1,12,2024-04-13
87,Amen,Beyonce,NEW,87,1,2024-04-13
88,FTCU,Nicki Minaj,82,15,17,2024-04-13
89,Wind Up Missin' You,Tucker Wetmore,NEW,89,1,2024-04-13
90,Spin You Around (1/24),Morgan Wallen,91,24,10,2024-04-13
91,Fried (She A Vibe),Future & Metro Boomin,33,33,2,2024-04-13
92,Claustrophobic,Future & Metro Boomin,24,24,2,2024-04-13
93,Magic Don Juan (Princess Diana),Future & Metro Boomin,27,27,2,2024-04-13
94,Tu Name,Fuerza Regida,81,66,7,2024-04-13
95,Outskirts,Sam Hunt,100,92,4,2024-04-13
96,Everyday Hustle,"Future, Metro Boomin & Rick Ross",38,38,2,2024-04-13
97,Back Then Right Now,Tyler Hubbard,RE- ENTRY,83,3,2024-04-13
98,La People II,"Peso Pluma, Tito Double P & Joel de La P",69,69,2,2024-04-13
99,Home,Good Neighbours,95,77,9,2024-04-13
100,Tucson Too Late,Jordan Davis,97,81,5,2024-04-13
1,Like That,"Future, Metro Boomin & Kendrick Lamar",1,1,3,2024-04-20
2,Too Sweet,Hozier,4,2,3,2024-04-20
3,Beautiful Things,Benson Boone,3,2,12,2024-04-20
4,Lose Control,Teddy Swims,5,1,35,2024-04-20
5,Texas Hold 'Em,Beyonce,2,1,9,2024-04-20
6,7 Minute Drill,J. Cole,NEW,6,1,2024-04-20
7,Lovin On Me,Jack Harlow,8,1,22,2024-04-20
8,We Can't Be Friends (Wait For Your Love),Ariana Grande,9,1,5,2024-04-20
9,Type Shit,"Future, Metro Boomin, Travis Scott & Playboi Carti",10,2,3,2024-04-20
10,Stick Season,Noah Kahan,15,10,28,2024-04-20
11,Wanna Be,GloRilla & Megan Thee Stallion,NEW,11,1,2024-04-20
12,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,12,1,33,2024-04-20
13,Cruel Summer,Taylor Swift,14,1,49,2024-04-20
14,Greedy,Tate McRae,13,3,30,2024-04-20
15,Saturn,SZA,19,6,7,2024-04-20
16,I Like The Way You Kiss Me,Artemas,23,16,3,2024-04-20
17,Carnival,¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti,11,1,9,2024-04-20
18,Agora Hills,Doja Cat,21,7,29,2024-04-20
19,Crocodile Tearz,J. Cole,NEW,19,1,2024-04-20
20,Snooze,SZA,17,2,69,2024-04-20
21,Fast Car,Luke Combs,18,2,55,2024-04-20
22,Get It Sexyy,Sexyy Red,20,20,4,2024-04-20
23,End Of Beginning,Djo,24,11,8,2024-04-20
24,Water,Tyla,22,7,28,2024-04-20
25,Redrum,21 Savage,28,5,13,2024-04-20
26,Feather,Sabrina Carpenter,32,26,19,2024-04-20
27,Man Made A Bar,Morgan Wallen Featuring Eric Church,33,15,29,2024-04-20
28,Huntin' Wabbitz,J. Cole,NEW,28,1,2024-04-20
29,Pricey,"J. Cole Featuring Ari Lennox, Young Dro & Gucci Mane",NEW,29,1,2024-04-20
30,II Most Wanted,Beyonce & Miley Cyrus,6,6,2,2024-04-20
31,Never Lose Me,Flo Milli,29,15,17,2024-04-20
32,Austin,Dasha,57,32,5,2024-04-20
33,Made For Me,Muni Long,35,20,13,2024-04-20
34,Whatever She Wants,Bryson Tiller,34,19,8,2024-04-20
35,H.Y.B.,J. Cole Featuring Bas & Central Cee,NEW,35,1,2024-04-20
36,Act II: Date @ 8,4batz Featuring Drake,36,7,14,2024-04-20
37,Cinderella,"Future, Metro Boomin & Travis Scott",25,6,3,2024-04-20
38,Ready '24,J. Cole Featuring Cam'Ron,NEW,38,1,2024-04-20
39,Yeah Glo!,GloRilla,56,35,9,2024-04-20
40,Slow It Down,Benson Boone,55,40,3,2024-04-20
41,Where The Wild Things Are,Luke Combs,46,26,21,2024-04-20
42,Burn It Down,Parker McCollum,47,42,25,2024-04-20
43,Obsessed,Olivia Rodrigo,41,14,3,2024-04-20
44,Where It Ends,Bailey Zimmerman,73,32,15,2024-04-20
45,Houdini,Dua Lipa,45,11,22,2024-04-20
46,Paint The Town Red,Doja Cat,50,1,36,2024-04-20
47,FE!N,Travis Scott Featuring Playboi Carti,53,5,23,2024-04-20
48,Gata Only,FloyyMenor X Cris Mj,74,48,4,2024-04-20
49,Wild Ones,Jessie Murph & Jelly Roll,58,35,27,2024-04-20
50,Selfish,Justin Timberlake,48,19,11,2024-04-20
51,Jolene,Beyonce,7,7,2,2024-04-20
52,23,Chayce Beckham,49,45,15,2024-04-20
53,Stickz N Stonez,J. Cole,NEW,53,1,2024-04-20
54,Scared To Start,Michael Marcagi,68,54,8,2024-04-20
55,Wildflowers And Wild Horses,Lainey Wilson,64,48,11,2024-04-20
56,Young Metro,"Future, Metro Boomin & The Weeknd",40,9,3,2024-04-20
57,Get In With Me,BossMan Dlow,66,49,10,2024-04-20
58,Enough (Miami),Cardi B,62,9,4,2024-04-20
59,Fever,J. Cole,NEW,59,1,2024-04-20
60,Cry,Benson Boone,NEW,60,1,2024-04-20
61,We Don't Trust You,Future & Metro Boomin,43,8,3,2024-04-20
62,Pi,J. Cole Featuring Daylyt & Ab-Soul,NEW,62,1,2024-04-20
63,Training Season,Dua Lipa,71,27,8,2024-04-20
64,La Diabla,Xavi,69,20,17,2024-04-20
65,Stealth Mode,J. Cole Featuring Bas,NEW,65,1,2024-04-20
66,Trae The Truth In Ibiza,J. Cole,NEW,66,1,2024-04-20
67,Levii's Jeans,Beyonce & Post Malone,16,16,2,2024-04-20
68,Mmhmm,BigXthaPlug,77,65,16,2024-04-20
69,Everybody,Nicki Minaj Featuring Lil Uzi Vert,75,24,18,2024-04-20
70,Bodyguard,Beyonce,26,26,2,2024-04-20
71,Soak City,310babii,76,53,17,2024-04-20
72,3001,J. Cole,NEW,72,1,2024-04-20
73,Hell N Back,Bakar Featuring Summer Walker,NEW,73,1,2024-04-20
74,Outskirts,Sam Hunt,95,74,5,2024-04-20
75,Praise Jah In The Moonlight,YG Marley,80,34,11,2024-04-20
76,One Of The Girls,"The Weeknd, Jennie & Lily-Rose Depp",85,51,16,2024-04-20
77,"Good Luck, Babe!",Chappell Roan,NEW,77,1,2024-04-20
78,Corazon de Piedra,Xavi,83,73,3,2024-04-20
79,FTCU,Nicki Minaj,88,15,18,2024-04-20
80,Tucson Too Late,Jordan Davis,100,80,6,2024-04-20
81,Tu Name,Fuerza Regida,94,66,8,2024-04-20
82,Wine Into Whiskey,Tucker Wetmore,RE- ENTRY,77,3,2024-04-20
83,Bandit,Don Toliver,84,38,10,2024-04-20
84,Halfway To Hell,Jelly Roll,NEW,84,1,2024-04-20
85,Home,Good Neighbours,99,77,10,2024-04-20
86,Back Then Right Now,Tyler Hubbard,97,83,4,2024-04-20
87,Spin You Around (1/24),Morgan Wallen,90,24,11,2024-04-20
88,Tyrant,Beyonce & Dolly Parton,44,44,2,2024-04-20
89,"Yes, And?",Ariana Grande,86,1,13,2024-04-20
90,Blackbiird,"Beyonce, Tanner Adell, Brittney Spencer, Tiera Kennedy & Reyna Roberts",27,27,2,2024-04-20
91,Magnetic,ILLIT,NEW,91,1,2024-04-20
92,Wind Up Missin' You,Tucker Wetmore,89,89,2,2024-04-20
93,Ya Ya,Beyonce,39,39,2,2024-04-20
94,Bulletproof,Nate Smith,NEW,94,1,2024-04-20
95,The Boy Is Mine,Ariana Grande,82,16,5,2024-04-20
96,One Call,Rich Amiri,RE- ENTRY,60,10,2024-04-20
97,We Ride,Bryan Martin,RE- ENTRY,96,2,2024-04-20
98,Mamaw's House,Thomas Rhett Featuring Morgan Wallen,79,55,15,2024-04-20
99,Let's Go,Key Glock & Young Dolph,RE- ENTRY,88,5,2024-04-20
100,16 Carriages,Beyonce,38,38,6,2024-04-20
1,Too Sweet,Hozier,2,1,4,2024-04-27
2,Like That,"Future, Metro Boomin & Kendrick Lamar",1,1,4,2024-04-27
3,Beautiful Things,Benson Boone,3,2,13,2024-04-27
4,Lose Control,Teddy Swims,4,1,36,2024-04-27
5,Texas Hold 'Em,Beyonce,5,1,10,2024-04-27
6,Lovin On Me,Jack Harlow,7,1,23,2024-04-27
7,Espresso,Sabrina Carpenter,NEW,7,1,2024-04-27
8,We Can't Be Friends (Wait For Your Love),Ariana Grande,8,1,6,2024-04-27
9,Stick Season,Noah Kahan,10,9,29,2024-04-27
10,Saturn,SZA,15,6,8,2024-04-27
11,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,12,1,34,2024-04-27
12,I Like The Way You Kiss Me,Artemas,16,12,4,2024-04-27
13,Cruel Summer,Taylor Swift,13,1,50,2024-04-27
14,Type Shit,"Future, Metro Boomin, Travis Scott & Playboi Carti",9,2,4,2024-04-27
15,Agora Hills,Doja Cat,18,7,30,2024-04-27
16,Greedy,Tate McRae,14,3,31,2024-04-27
17,Wanna Be,GloRilla & Megan Thee Stallion,11,11,2,2024-04-27
18,Fast Car,Luke Combs,21,2,56,2024-04-27
19,Snooze,SZA,20,2,70,2024-04-27
20,Carnival,¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti,17,1,10,2024-04-27
21,Feather,Sabrina Carpenter,26,21,20,2024-04-27
22,We Still Don't Trust You,"Future, Metro Boomin & The Weeknd",NEW,22,1,2024-04-27
23,Get It Sexyy,Sexyy Red,22,20,5,2024-04-27
24,End Of Beginning,Djo,23,11,9,2024-04-27
25,Redrum,21 Savage,25,5,14,2024-04-27
26,Water,Tyla,24,7,29,2024-04-27
27,Gata Only,FloyyMenor X Cris Mj,48,27,5,2024-04-27
28,Austin,Dasha,32,28,6,2024-04-27
29,Where The Wild Things Are,Luke Combs,41,26,22,2024-04-27
30,Act II: Date @ 8,4batz Featuring Drake,36,7,15,2024-04-27
31,Whatever She Wants,Bryson Tiller,34,19,9,2024-04-27
32,Yeah Glo!,GloRilla,39,32,10,2024-04-27
33,Never Lose Me,Flo Milli,31,15,18,2024-04-27
34,Man Made A Bar,Morgan Wallen Featuring Eric Church,27,15,30,2024-04-27
35,Made For Me,Muni Long,33,20,14,2024-04-27
36,A Bar Song (Tipsy),Shaboozey,NEW,36,1,2024-04-27
37,Cinderella,"Future, Metro Boomin & Travis Scott",37,6,4,2024-04-27
38,Where It Ends,Bailey Zimmerman,44,32,16,2024-04-27
39,Red Leather,"Future, Metro Boomin & J. Cole",NEW,39,1,2024-04-27
40,Paint The Town Red,Doja Cat,46,1,37,2024-04-27
41,Out Of My Hands,Future & Metro Boomin,NEW,41,1,2024-04-27
