Rank,Song,Artist,Last_Week,Peak_Position,Weeks_on_Chart,Date
40,Surround Sound,JID Featuring 21 Savage & Baby Tate,44,40,9,2024-01-20
41,Wild Ones,Jessie Murph & Jelly Roll,41,41,14,2024-01-20
42,Never Lose Me,Flo Milli,47,42,4,2024-01-20
43,The Painter,Cody Johnson,45,43,14,2024-01-20
44,Strangers,Kenya Grace,42,42,17,2024-01-20
45,Save Me The Trouble,Dan + Shay,38,38,11,2024-01-20
46,Feather,Sabrina Carpenter,56,46,6,2024-01-20
47,You Broke My Heart,Drake,50,11,8,2024-01-20
48,Where The Wild Things Are,Luke Combs,49,48,8,2024-01-20
49,Monaco,Bad Bunny,43,5,13,2024-01-20
50,Get Him Back!,Olivia Rodrigo,46,11,18,2024-01-20
51,IDGAF,Drake Featuring Yeat,51,2,14,2024-01-20
52,Burn It Down,Parker McCollum,53,52,12,2024-01-20
53,Harley Quinn,Fuerza Regida & Marshmello,52,40,10,2024-01-20
54,Bellakeo,Peso Pluma & Anitta,54,54,4,2024-01-20
55,La Victima,Xavi,55,55,4,2024-01-20
56,500lbs,Lil Tecca,57,51,16,2024-01-20
57,Hey Driver,Zach Bryan Featuring The War And Treaty,60,14,20,2024-01-20
58,Murder On The Dancefloor,Sophie Ellis-Bextor,98,58,2,2024-01-20
59,I Can Feel It,Kane Brown,59,59,2,2024-01-20
60,Different 'Round Here,Riley Green Featuring Luke Combs,64,60,6,2024-01-20
61,One Of The Girls,"The Weeknd, Jennie & Lily-Rose Depp",69,61,3,2024-01-20
62,Man Made A Bar,Morgan Wallen Featuring Eric Church,66,15,16,2024-01-20
63,Can't Catch Me Now,Olivia Rodrigo,63,56,10,2024-01-20
64,23,Chayce Beckham,71,64,2,2024-01-20
65,Mmhmm,BigXthaPlug,77,65,3,2024-01-20
66,Soak City,310babii,68,66,4,2024-01-20
67,We Don't Fight Anymore,Carly Pearce Featuring Chris Stapleton,73,67,4,2024-01-20
68,Segun Quien,Maluma & Carin Leon,65,65,15,2024-01-20
69,Que Onda,Calle 24 x Chino Pacas x Fuerza Regida,74,61,15,2024-01-20
70,El Amor de Su Vida,Grupo Frontera & Grupo Firme,67,67,18,2024-01-20
71,Wondering Why,The Red Clay Strays,76,71,3,2024-01-20
72,Oklahoma Smokeshow,Zach Bryan,75,72,12,2024-01-20
73,Mind On You,George Birge,62,62,4,2024-01-20
74,FE!N,Travis Scott Featuring Playboi Carti,79,5,11,2024-01-20
75,Perro Negro,Bad Bunny & Feid,72,20,10,2024-01-20
76,Standing Next To You,Jung Kook,70,5,10,2024-01-20
77,Act II: Date @ 8,4batz Featuring Drake,NEW,77,1,2024-01-20
78,Virginia Beach,Drake,84,3,12,2024-01-20
79,Y Lloro,Junior H,97,79,3,2024-01-20
80,Northern Attitude,Noah Kahan With Hozier,86,37,6,2024-01-20
81,Rich Men North Of Richmond,Oliver Anthony Music,85,1,19,2024-01-20
82,My Eyes,Travis Scott,94,19,6,2024-01-20
83,Great Gatsby,Rod Wave,78,30,16,2024-01-20
84,You're Losing Me (From The Vault),Taylor Swift,61,27,7,2024-01-20
85,Bad Idea Right?,Olivia Rodrigo,80,7,19,2024-01-20
86,Slime You Out,Drake Featuring SZA,91,1,14,2024-01-20
87,Now That We Don't Talk (Taylor's Version) [From The Vault],Taylor Swift,87,2,8,2024-01-20
88,Mamaw's House,Thomas Rhett Featuring Morgan Wallen,RE- ENTRY,55,2,2024-01-20
89,Coal,Dylan Gossett,NEW,89,1,2024-01-20
90,Tourniquet,Zach Bryan,96,20,10,2024-01-20
91,Lace It,"Juice WRLD, Eminem & benny blanco",88,85,4,2024-01-20
92,Run For The Hills,Tate McRae,90,69,4,2024-01-20
93,Mi Ex Tenia Razon,Karol G,89,22,16,2024-01-20
94,Rompe La Dompe,"Peso Pluma, Junior H & Oscar Maydon",81,81,2,2024-01-20
95,Can't Have Mine,Dylan Scott,82,57,13,2024-01-20
96,Better Place,*NSYNC,92,25,6,2024-01-20
97,Sabor Fresa,Fuerza Regida,RE- ENTRY,26,16,2024-01-20
98,When It Comes To You,Fridayy,NEW,98,1,2024-01-20
99,Where It Ends,Bailey Zimmerman,RE- ENTRY,32,6,2024-01-20
100,IDGAF,"Tee Grizzley, Mariah The Scientist & Chris Brown",NEW,100,1,2024-01-20
1,"Yes, And?",Ariana Grande,NEW,1,1,2024-01-27
2,Lovin On Me,Jack Harlow,1,1,10,2024-01-27
3,Cruel Summer,Taylor Swift,2,1,37,2024-01-27
4,Greedy,Tate McRae,3,3,18,2024-01-27
5,Redrum,21 Savage,NEW,5,1,2024-01-27
6,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,4,1,21,2024-01-27
7,Paint The Town Red,Doja Cat,5,1,24,2024-01-27
8,Lose Control,Teddy Swims,8,8,23,2024-01-27
9,Snooze,SZA,6,2,57,2024-01-27
10,Nee-nah,"21 Savage, Travis Scott & Metro Boomin",NEW,10,1,2024-01-27
11,Agora Hills,Doja Cat,9,9,17,2024-01-27
12,Water,Tyla,7,7,16,2024-01-27
13,Last Night,Morgan Wallen,10,1,51,2024-01-27
14,Thinkin' Bout Me,Morgan Wallen,12,7,46,2024-01-27
15,Fast Car,Luke Combs,11,2,43,2024-01-27
